PhiDot;Phi;Temp;kf 
1.5;0.38;400;673.18
1.5;0.4;400;678.42
1.5;0.42;400;682.73
1.5;0.44;400;686.21
1.5;0.46;400;689.97
1.5;0.48;400;693.31
1.5;0.5;400;696.54
1.5;0.52;400;699.36
1.5;0.54;400;701.53
1.5;0.56;400;704.06
1.5;0.58;400;705.93
1.5;0.6;400;707.81
1.5;0.62;400;709.69
1.5;0.64;400;710.63
1.5;0.66;400;712.51
1.5;0.68;400;713.45
1.5;0.7;400;714.39
90;0.04;400;365.91
90;0.06;400;403.49
90;0.08;400;436.22
90;0.1;400;462.5
90;0.12;400;484.74
90;0.14;400;501.25
90;0.16;400;514.65
90;0.18;400;527.03
90;0.2;400;538.12
90;0.22;400;547.6
90;0.24;400;555.66
90;0.26;400;562.9
90;0.28;400;569.26
90;0.3;400;574.69
90;0.32;400;579.59
90;0.34;400;583.78
90;0.36;400;588.51
90;0.38;400;590.86
90;0.4;400;594.62
90;0.42;400;597.44
90;0.44;400;598.85
90;0.46;400;600.26
90;0.48;400;602.13
90;0.5;400;604.01
90;0.52;400;605.89
90;0.54;400;607.77
90;0.56;400;608.71
90;0.58;400;610.59
90;0.6;400;612.07
90;0.62;400;612.94
90;0.64;400;614.35
90;0.66;400;615.29
90;0.68;400;616.23
90;0.7;400;617.16
0.1;0.04;500;282.47
0.1;0.06;500;310.66
0.1;0.08;500;331.93
0.1;0.1;500;348.97
0.1;0.12;500;363.17
0.1;0.14;500;375.7
0.1;0.16;500;387.04
0.1;0.18;500;397.08
0.1;0.2;500;406.37
0.1;0.22;500;414.93
0.1;0.24;500;422.52
0.1;0.26;500;429.12
0.1;0.28;500;434.86
0.1;0.3;500;440.42
0.1;0.32;500;445.13
0.1;0.34;500;448.9
0.1;0.36;500;452.45
0.1;0.38;500;455.79
0.1;0.4;500;458.32
0.1;0.42;500;461.15
0.1;0.44;500;463.45
0.1;0.46;500;465.39
0.1;0.48;500;466.83
0.1;0.5;500;467.87
0.1;0.52;500;469.62
0.1;0.54;500;470.1
0.1;0.56;500;471.04
0.1;0.58;500;472.21
