PhiDot;Phi;Temp;kf
90;0.38;500;836.67
90;0.4;500;838
90;0.42;500;839.56
90;0.44;500;840.87
90;0.46;500;841.8
90;0.48;500;842.73
90;0.5;500;843.66
90;0.52;500;844.82
90;0.54;500;845.53
90;0.56;500;846.46
90;0.58;500;846.93
90;0.6;500;846.93
90;0.62;500;847.86
90;0.64;500;847.86
90;0.66;500;848.32
90;0.68;500;848.79
90;0.7;500;849.72
0.1;0.04;600;266.39
0.1;0.06;600;294.8
0.1;0.08;600;309.5
0.1;0.1;600;319.66
0.1;0.12;600;326.37
0.1;0.14;600;330.37
0.1;0.16;600;332.98
0.1;0.18;600;334.96
0.1;0.2;600;336.93
0.1;0.22;600;337.42
0.1;0.24;600;337.92
0.1;0.26;600;338.9
0.1;0.28;600;339.89
0.1;0.3;600;339.89
0.1;0.32;600;341.86
0.1;0.34;600;341.86
0.1;0.36;600;342.85
0.1;0.38;600;343.84
0.1;0.4;600;344.82
0.1;0.42;600;345.81
0.1;0.44;600;345.81
0.1;0.46;600;346.3
0.1;0.48;600;346.8
0.1;0.5;600;346.8
0.1;0.52;600;347.78
0.1;0.54;600;347.29
0.1;0.56;600;347.78
0.1;0.58;600;347.73
0.1;0.6;600;347.29
0.1;0.62;600;347.29
0.1;0.64;600;348.28
0.1;0.66;600;348.28
0.1;0.68;600;349.07
0.1;0.7;600;348.77
1.5;0.04;600;306.35
1.5;0.06;600;365.84
1.5;0.08;600;398
1.5;0.1;600;413.39
1.5;0.12;600;424.35
1.5;0.14;600;431.99
1.5;0.16;600;439.05
1.5;0.18;600;444.42
1.5;0.2;600;449.41
1.5;0.22;600;452.91
1.5;0.24;600;456.31
1.5;0.26;600;458.93
1.5;0.28;600;461.44
1.5;0.3;600;464.2
1.5;0.32;600;467.16
1.5;0.34;600;470.12
1.5;0.36;600;472.1
1.5;0.38;600;474.51
1.5;0.4;600;476.04
1.5;0.42;600;478.02
1.5;0.44;600;479.6
1.5;0.46;600;481.47
1.5;0.48;600;482.95
1.5;0.5;600;483.94
1.5;0.52;600;485.42
1.5;0.54;600;486.26
1.5;0.56;600;486.8
1.5;0.58;600;488.38
1.5;0.6;600;489.36
1.5;0.62;600;490.84
1.5;0.64;600;491.34
1.5;0.66;600;491.34
1.5;0.68;600;492.32
1.5;0.7;600;492.32
90;0.04;600;386.16
90;0.06;600;466.77
90;0.08;600;523.3
90;0.1;600;568.79
