PhiDot;Phi;Temp;kf
8;0.125;1000;137.661
8;0.125;1100;949.998
8;0.125;1200;723.476
8;0.15;900;198.369
8;0.15;1000;142.336
8;0.15;1100;985.549
8;0.15;1200;73.567
8;0.175;900;203.554
8;0.175;1000;145.783
8;0.175;1100;101.003
8;0.175;1200;752.508
8;0.2;900;207.03
8;0.2;1000;148.938
8;0.2;1100;102.518
8;0.2;1200;771.669
8;0.225;900;210.564
8;0.225;1000;151.743
8;0.225;1100;104.907
8;0.225;1200;787.347
8;0.25;900;213.687
8;0.25;1000;154.022
8;0.25;1100;106.248
8;0.25;1200;798.379
8;0.275;900;216.809
8;0.275;1000;155.833
8;0.275;1100;107.472
8;0.275;1200;811.153
8;0.3;900;218.694
8;0.3;1000;157.235
8;0.3;1100;108.404
8;0.3;1200;824.508
8;0.325;900;220.226
8;0.325;1000;158.17
8;0.325;1100;109.57
8;0.325;1200;832.636
8;0.35;900;221.758
8;0.35;1000;159.397
8;0.35;1100;110.502
8;0.35;1200;834.378
8;0.375;900;222.936
8;0.375;1000;160.449
8;0.375;1100;111.551
8;0.375;1200;842.507
8;0.4;900;223.584
8;0.4;1000;161.208
8;0.4;1100;112.426
8;0.4;1200;843.669
8;0.425;900;224.35
8;0.425;1000;161.208
8;0.425;1100;113.242
8;0.425;1200;850.056
8;0.45;900;224.586
8;0.45;1000;160.799
8;0.45;1100;114.057
8;0.45;1200;855.281
8;0.475;900;223.584
8;0.475;1000;160.449
8;0.475;1100;114.699
8;0.475;1200;855.281
8;0.5;900;223.172
8;0.5;1000;160.449
8;0.5;1100;114.699
8;0.5;1200;858.765
8;0.525;900;221.876
8;0.525;1000;160.04
8;0.525;1100;115.514
8;0.525;1200;861.088
8;0.55;900;220.403
8;0.55;1000;159.456
8;0.55;1100;115.981
8;0.55;1200;86.283
8;0.575;900;218.753
8;0.575;1000;158.696
8;0.575;1100;116.447
8;0.575;1200;866.314
8;0.6;900;216.809
8;0.6;1000;158.287
8;0.6;1100;115.981
8;0.6;1200;859.927
8;0.625;900;214.276
8;0.625;1000;157.352
8;0.625;1100;116.622
8;0.625;1200;865.733
8;0.65;900;211.271
8;0.65;1000;156.417
8;0.65;1100;117.205
8;0.65;1200;865.733
8;0.675;900;208.62
8;0.675;1000;155.132
8;0.675;1100;117.205
8;0.675;1200;861.668
8;0.7;900;205.675
8;0.7;1000;153.905
8;0.7;1100;116.505
8;0.7;1200;856.443
